N;Код ПЛ;Вид ПЛ;ПЛ текущий;Код ПЛ Новый;Вид ПЛ новый;ПЛ новый;Код;Контрагент;Работаем с даты:;Головной контрагент;Система ЭД;Регион;Зона региона;Скидка;Менеджер;Макс РЕГ;Тип контрагента;Отсрочка;Ценообразование на отсрочку;Ценообразование на отсрочку рассч;Коэфф;Сумма2013;ЧН 2013;Сумма2014;ЧН 2014;Сумма2015;ЧН 2015;Сумма2016;ЧН 2016;Сумма2017;ЧН 2017;Вид доставки;Оплачивает ПМ;Возмещение;Перевозчик;Количество контрагентов;Аукцион БП 2013;Аукцион БП 2014;Аукцион БП 2015;Аукцион БП 2016;Аукцион БП 2017;Регион код;Аукцион 2013;Аукцион 2014;Аукцион 2015;Аукцион 2016;Аукцион 2017;БП 2013;БП 2014;БП 2015;БП 2016;БП 2017
1 039;000036;ГосЛПУ;МО_БП_30%;;;;04741;ПНИ №13 ГБУ;01.04.2008;ПНИ №13 ГБУ;;Московская область;;0,150;Котов Н.А.;100;ЛПУ;60;3,60;3,95;;4 848 680,95;741 267,40;3 746 740,40;581 469,76;5 523 836,34;992 505,71;5 674 443,41;492 282,33;662 482,36;50 749,37;АВТО;ложь ;;;1;3 935 964,77;3 622 623,86;4 291 727,42;5 674 443,41;662 482,36;000000291;;3 023 303,40;4 291 727,42;5 674 443,41;662 482,36;3 935 964,77;599 320,46;;;
1 040;000036;ГосЛПУ;МО_БП_30%;;;;09515;Мытищинский противотуберкулезный диспансер ГБУЗ МО;06.10.2015;Мытищинский противотуберкулезный диспансер ГБУЗ МО;;Московская область;;0,110;Котов Н.А.;100;ЛПУ;;;;;;;;;435 357,45;117 350,87;990 824,43;244 923,02;;;АВТО;ложь ;;;1;;;435 357,45;990 824,43;;000000291;;;;;;;;435 357,45;990 824,43;
1 041;000036;ГосЛПУ;МО_БП_30%;;;;08249;Авсюнинская участковая больница ГБУЗ МО п. Авсюнино;11.07.2013;Авсюнинская участковая больница ГБУЗ МО п. Авсюнино;;Московская область;;0,150;Таран М.А.;100;ЛПУ;30;1,80;1,97;;27 453,50;9 063,19;313 255,29;88 365,49;565 634,00;135 336,82;255 910,60;59 114,79;204 268,91;64 711,67;АВТО;ложь ;;;1;;185 878,32;414 898,10;112 353,38;;000000291;;4 379,40;;15 590,31;;;181 498,92;414 898,10;96 763,07;
1 042;000036;ГосЛПУ;МО_БП_30%;;;;09056;Уваровский детский дом-интернат для умственно отсталых детей ГБСУСО МО;18.12.2014;Уваровский детский дом-интернат для умственно отсталых детей ГБСУСО МО;;Московская область;;0,150;Таран М.А.;100;ЛПУ;30;1,80;1,97;;;;810 428,01;128 995,73;2 210 529,45;321 256,84;854 640,29;48 123,76;2 160 288,88;213 997,99;АВТО;ложь ;;;1;;691 173,18;1 555 407,72;854 640,29;901 009,98;000000291;;650 153,70;1 221 829,94;;901 009,98;;41 019,48;333 577,78;854 640,29;
1 043;000036;ГосЛПУ;МО_БП_30%;;;;06098;Электростальская ЦГБ ГБУЗ МО г. Электросталь;04.02.2011;Электростальская ЦГБ ГБУЗ МО г. Электросталь;;Московская область;;0,250;Таран М.А.;100;ЛПУ;60;3,60;3,95;;14 064 837,34;3 177 212,63;4 898 648,44;1 102 575,04;3 283 867,00;466 332,28;364 892,69;23 669,92;1 465 711,31;200 957,07;АВТО;ложь ;;;1;12 381 890,88;1 760 940,09;3 088 779,16;143 200,05;;000000291;12 381 890,88;542 715,41;43 713,78;103 697,95;;;1 218 224,68;3 045 065,38;39 502,10;
1 044;000036;ГосЛПУ;МО_БП_30%;;;;03757;ПНИ № 33 ГБУ;13.02.2008;ПНИ № 33 ГБУ;;Московская область;;0,150;Шкатова В.В;100;ЛПУ;45;2,70;2,96;;394 004,08;139 488,55;759 958,72;105 955,94;373 576,26;61 399,25;1 161 944,97;91 279,78;;;АВТО;ложь ;;;1;253 895,00;573 932,26;283 248,99;1 161 944,97;;000000291;253 895,00;573 932,26;283 248,99;1 161 944,97;;;;;;
1 045;000036;ГосЛПУ;МО_БП_30%;;;;08698;"Красно-Дубравский детский дом-интернат ""Журавушка"" ГБСУСО МО";31.03.2014;"Красно-Дубравский детский дом-интернат ""Журавушка"" ГБСУСО МО";;Московская область;;0,100;Таран М.А.;100;ЛПУ;60;3,60;3,95;;;;806 759,24;149 479,57;648 895,06;109 647,33;898 480,47;135 754,33;841 332,88;62 304,05;АВТО;ложь ;;;1;;743 121,55;643 018,42;850 947,50;474 389,95;000000291;;183 661,55;524 940,11;110 552,39;474 389,95;;559 460,00;118 078,31;740 395,11;
1 046;000036;ГосЛПУ;МО_БП_30%;;;;09336;МЫТИЩИНСКИЙ  ПСИХОНЕВРОЛОГИЧЕСКИЙ  ДИСПАНСЕР;15.05.2015;МЫТИЩИНСКИЙ  ПСИХОНЕВРОЛОГИЧЕСКИЙ  ДИСПАНСЕР;;Московская область;;0,150;Котов Н.А.;100;ЛПУ;90;7,40;5,92;;;;;;63 181,82;13 876,47;766 004,41;210 733,73;1 137 624,51;235 760,99;АВТО;ложь ;;Парма Медикал;1;;;63 181,82;766 004,41;1 137 624,51;000000291;;;63 181,82;766 004,41;1 137 624,51;;;;;
1 047;000036;ГосЛПУ;МО_БП_30%;;;;07392;Щёлковская районная больница №1;08.10.2012;Щёлковская районная больница №1;;Московская область;;0,100;Таран М.А.;100;ЛПУ;60;3,60;3,95;;;;;;383 461,12;54 948,96;138 241,13;7 149,71;512 857,04;44 166,67;АВТО;ложь ;;Парма Медикал;1;;;383 461,12;138 241,13;143 871,74;000000291;;;284 555,67;36 870,04;143 871,74;;;98 905,45;101 371,09;
1 048;000036;ГосЛПУ;МО_БП_30%;;;;07040;МОПБ №15 ГБУЗ Павлово-Посадский, д. Андреево;22.10.2012;МОПБ №15 ГБУЗ Павлово-Посадский, д. Андреево;;Московская область;;0,250;Таран М.А.;100;ЛПУ;60;3,60;3,95;;1 205 476,99;306 890,46;2 888 087,99;661 217,46;4 234 474,33;1 348 054,95;3 903 448,94;1 056 856,96;1 677 782,15;580 511,76;АВТО;истина ;;;1;415 281,79;2 886 302,65;4 106 564,34;2 974 634,49;;000000291;415 281,79;1 393 224,37;2 362 143,12;2 958 373,13;;;1 493 078,28;1 744 421,22;16 261,36;
1 049;000036;ГосЛПУ;МО_БП_30%;;;;09552;МОПБ  ГБУЗ №11 Шатурский р-н;05.11.2015;МОПБ  ГБУЗ №11 Шатурский р-н;;Московская область;;0,220;Таран М.А.;100;ЛПУ;120;13,00;7,89;;;;;;1 616 993,67;385 406,17;155 543,86;28 026,90;;;АВТО;ложь ;;;1;;;1 616 993,67;87 680,45;;000000291;;;29 231,82;87 680,45;;;;1 587 761,85;;
1 050;000036;ГосЛПУ;МО_БП_30%;;;;03701;ГБ №2 г.Королев ГБУЗ МО;17.01.2013;ГБ №2 г.Королев ГБУЗ МО;;Московская область;;0,200;Носова Е.А.;100;ЛПУ;60;3,60;3,95;;3 364 038,51;594 189,02;1 357 114,27;239 128,28;296 803,59;75 452,12;846 290,08;211 247,37;;;АВТО;ложь ;;;1;116 876,36;574 136,59;105 531,33;407 770,18;;000000291;116 876,36;560 178,96;14 702,15;266 589,20;;;13 957,63;90 829,18;141 180,98;
1 051;000036;ГосЛПУ;МО_БП_30%;;;;08594;Верейская участковая больница ГБУЗ МО г.Орехово-Зуево;31.12.2013;Верейская участковая больница ГБУЗ МО г.Орехово-Зуево;;Московская область;;0,220;Таран М.А.;100;ЛПУ;60;3,60;3,95;;;;545 445,10;165 414,95;983 164,68;362 187,79;707 891,75;285 478,42;495 120,14;217 277,97;АВТО;ложь ;;;1;;355 757,95;886 564,59;364 927,15;40 289,17;000000291;;;71 077,33;90 905,93;;;355 757,95;815 487,26;274 021,22;40 289,17
1 052;000036;ГосЛПУ;МО_БП_30%;;;;08588;Серпуховский родильный дом МУЗ г. Серпухов;04.02.2014;Серпуховский родильный дом МУЗ г. Серпухов;;Московская область;;;Александров А.А.;100;ЛПУ;90;7,40;5,92;;;;1 139 960,22;106 814,00;;;350 507,77;20 870,67;;;АВТО;истина ;;Парма Медикал;1;;717 516,80;;350 507,77;;000000291;;498 713,65;;14 423,20;;;218 803,15;;336 084,57;
1 053;000036;ГосЛПУ;МО_БП_30%;;;;06089;Куровская городская больница ГБУЗ МО;11.01.2012;Куровская городская больница ГБУЗ МО;;Московская область;;0,150;Таран М.А.;100;ЛПУ;60;3,60;3,95;;487 382,85;152 506,84;217 895,89;80 285,11;664 762,05;199 277,49;797 571,07;178 302,12;134 807,15;43 987,55;АВТО;ложь ;;;1;;36 609,15;664 762,05;229 986,55;;000000291;;36 609,15;104 111,51;176 639,28;;;;560 650,54;53 347,27;
1 054;000036;ГосЛПУ;МО_БП_30%;;;;07080;МОПБ №4 ГУЗ с. Покровское;18.11.2011;МОПБ №4 ГУЗ с. Покровское;;Московская область;;0,200;Котов Н.А.;100;ЛПУ;60;3,60;3,95;;4 887 185,32;1 426 583,23;8 479 401,50;2 946 066,41;10 368 828,86;3 691 078,53;11 064 355,61;4 273 725,80;7 605 646,72;2 872 981,78;АВТО;ложь ;;;1;2 929 119,54;8 136 022,91;9 970 372,20;10 924 881,06;7 441 936,20;000000291;2 929 119,54;8 136 022,91;9 970 372,20;10 924 881,06;7 441 936,20;;;;;
1 055;000036;ГосЛПУ;МО_БП_30%;;;;03781;Психоневрологический интернат №10 г. Видное;19.12.2008;Психоневрологический интернат №10 г. Видное;;Московская область;;0,070;Шкатова В.В;100;ЛПУ;14;0,80;0,92;;4 675 512,41;483 667,64;1 993 628,15;78 917,10;1 732 803,72;17 949,89;3 930 019,79;655 031,28;1 735 674,81;232 899,75;АВТО;истина ;;;1;4 590 681,18;1 993 628,15;1 732 803,72;3 930 019,79;1 511 567,92;000000291;;;;;184 369,45;4 590 681,18;1 993 628,15;1 732 803,72;3 930 019,79;1 327 198,47
1 056;000036;ГосЛПУ;МО_БП_30%;;;;06385;Куровской ПНИ ГБСУСО МО г. Куровское;20.08.2012;Куровской ПНИ ГБСУСО МО г. Куровское;;Московская область;;0,150;Таран М.А.;100;ЛПУ;60;3,60;3,95;;3 184 434,39;750 668,61;1 907 714,82;483 811,99;2 303 922,22;399 482,68;3 464 267,13;865 084,80;2 463 151,25;501 572,90;АВТО;ложь ;;;1;630 613,93;922 251,92;2 246 024,76;2 789 305,65;275 603,13;000000291;630 613,93;290 001,35;413 357,72;195 816,69;275 603,13;;632 250,57;1 832 667,04;2 593 488,96;
1 057;000036;ГосЛПУ;МО_БП_30%;;;;07054;ПБ №19 ГБУЗ МО;21.11.2011;ПБ №19 ГБУЗ МО;;Московская область;;0,110;Таран М.А.;100;ЛПУ;90;7,40;5,92;;1 259 401,20;204 459,33;2 862 952,51;717 238,40;3 641 048,49;785 904,13;1 751 337,95;317 109,03;1 468 988,44;525 597,25;АВТО;истина ;;;1;;2 557 682,32;3 641 048,49;1 313 808,45;215 932,70;000000291;;2 557 682,32;3 641 048,49;1 313 808,45;215 932,70;;;;;
1 058;000036;ГосЛПУ;МО_БП_30%;;;;03575;Егорьевская ЦРБ ГБУЗ МО;02.05.2007;Егорьевская ЦРБ ГБУЗ МО;;Московская область;;0,210;Таран М.А.;100;ЛПУ;180;20,00;11,84;;;;3 824,10;680,25;4 191 348,90;1 289 402,27;4 942 936,13;827 544,96;297 967,30;76 294,20;АВТО;ложь ;;;1;;;4 027 031,38;3 924 210,84;45 957,94;000000291;;;2 157 883,29;1 311 735,32;45 957,94;;;1 869 148,09;2 612 475,52;
1 059;000036;ГосЛПУ;МО_БП_30%;;;;10226;Одинцовская районная больница №3 ГБУЗ МО;29.06.2017;Одинцовская районная больница №3 ГБУЗ МО;;Московская область;;;Хохлова Ю.А.;100;ЛПУ;;;;;;;;;;;;;88 815,90;17 946,12;АВТО;ложь ;;Парма Медикал;1;;;;;88 815,90;000000291;;;;;;;;;;88 815,90
1 060;000036;ГосЛПУ;МО_БП_30%;;;;07056;МОПБ №23 с. Каменское;27.06.2012;МОПБ №23 с. Каменское;;Московская область;;0,150;Таран М.А.;100;ЛПУ;90;7,40;5,92;;1 825 884,06;112 961,86;802 860,96;156 933,50;5 126 075,73;1 775 171,65;6 610 226,09;2 476 932,11;3 499 540,81;1 157 324,78;АВТО;ложь ;;;1;1 395 919,42;802 860,96;5 114 393,91;4 987 118,37;58 413,98;000000291;1 395 919,42;802 860,96;1 741 933,09;4 386 560,72;58 413,98;;;3 372 460,82;600 557,65;
1 061;000036;ГосЛПУ;МО_БП_30%;;;;06374;Щелковская районная больница №2;16.08.2011;Щелковская районная больница №2;;Московская область;;0,150;Таран М.А.;100;ЛПУ;60;3,60;3,95;;374 235,37;82 983,19;;;;;2 606 968,97;385 035,52;1 000 470,58;268 927,17;АВТО;ложь ;;;1;28 753,64;;;262 799,81;169 604,82;000000291;28 753,64;;;262 799,81;169 604,82;;;;;
1 062;000036;ГосЛПУ;МО_БП_30%;;;;05090;ПНИ №3 п. Луговой;01.01.2012;ПНИ №3 п. Луговой;;Московская область;;0,220;Шкатова В.В;100;ЛПУ;40;2,40;2,63;;863 824,21;116 247,26;922 245,23;146 761,11;1 251 698,33;64 322,55;3 929 825,26;654 493,62;90 869,60;11 340,40;АВТО;ложь ;;;1;863 824,21;922 245,23;1 251 698,33;3 929 825,26;90 869,60;000000291;;57 775,48;90 874,44;1 715 303,67;;863 824,21;864 469,75;1 160 823,89;2 214 521,59;90 869,60
1 063;000036;ГосЛПУ;МО_БП_30%;;;;03946;Чеховская РБ №1 ГБУЗ  МО г.Чехов;20.01.2007;Чеховская РБ №1 ГБУЗ  МО г.Чехов;;Московская область;;0,100;Таран М.А.;100;ЛПУ;45;2,70;2,96;;59 551,13;5 603,30;;;30 371,84;5 157,56;65 375,44;7 416,27;43 332,49;5 108,14;АВТО;ложь ;;;1;;;30 371,84;;;000000291;;;10 244,56;;;;;20 127,28;;
1 064;000036;ГосЛПУ;МО_БП_30%;;;;09471;Орехово-Зуевская районная стоматологическая поликлиника ГАУЗ МО;02.09.2015;Орехово-Зуевская районная стоматологическая поликлиника ГАУЗ МО;;Московская область;;0,150;Таран М.А.;100;ЛПУ;30;1,80;1,97;;;;;;88 548,90;21 153,28;62 425,65;25 657,72;146 334,77;29 775,59;АВТО;ложь ;;;1;;;88 548,90;20 293,58;122 925,68;000000291;;;88 548,90;20 293,58;122 925,68;;;;;
1 065;000036;ГосЛПУ;МО_БП_30%;;;;08422;ГБ №2 г.Королев ГБУЗ;26.09.2013;ГБ №2 г.Королев ГБУЗ;;Московская область;;0,200;Таран М.А.;100;ЛПУ;120;13,00;7,89;;148 246,90;7 390,29;449 418,44;94 378,65;1 516 354,43;278 294,20;315 186,33;52 364,45;;;АВТО;ложь ;;;1;148 246,90;449 418,44;1 516 354,43;180 740,23;;000000291;148 246,90;449 418,44;743 530,82;106 927,18;;;;772 823,61;73 813,05;
1 066;000036;ГосЛПУ;МО_БП_30%;;;;10257;Люберецкий наркологический диспансер ГАУЗ МО г. Люберцы;17.07.2017;Люберецкий наркологический диспансер ГАУЗ МО г. Люберцы;;Московская область;;;Таран М.А.;100;ЛПУ;30;1,80;1,97;;;;;;;;;;279 686,70;47 604,72;АВТО;ложь ;;Парма Медикал;1;;;;;267 378,30;000000291;;;;;267 378,30;;;;;
1 067;000036;ГосЛПУ;МО_БП_30%;;;;03539;Воскресенская Районная Больница №2 ГАУЗ МО;20.05.2010;Воскресенская Районная Больница №2 ГАУЗ МО;;Московская область;;0,200;Таран М.А.;100;ЛПУ;30;1,80;1,97;;8 352 471,06;1 032 344,89;10 450 941,91;1 542 342,44;7 737 827,76;373 478,54;12 084 577,74;1 340 491,15;5 895 714,42;394 032,61;АВТО;ложь ;;;1;2 240 928,88;9 494 583,21;7 698 185,47;7 980 205,42;33 116,99;000000291;2 240 928,88;4 638 107,35;1 707 154,74;5 103 095,99;33 116,99;;4 856 475,86;5 991 030,73;2 877 109,43;
1 068;000036;ГосЛПУ;МО_БП_30%;;;;09282;Королевский детский психоневрологический санаторий ГКУЗ МО;22.04.2015;Королевский детский психоневрологический санаторий ГКУЗ МО;;Московская область;;0,100;Таран М.А.;;Опт;;;;;;;;;425 514,94;53 667,05;;;;; -;ложь ;;;1;;;425 514,94;;;000000291;;;4 176,15;;;;;421 338,79;;
1 069;000036;ГосЛПУ;МО_БП_30%;;;;08934;"Узловая поликлиника на ст. Орехово-Зуево ОАО ""РЖД"" НУЗ";26.09.2014;"Узловая поликлиника на ст. Орехово-Зуево ОАО ""РЖД"" НУЗ";;Московская область;;0,100;Таран М.А.;100;ЛПУ;30;1,80;1,97;;;;61 608,32;18 716,52;252 189,12;100 103,05;209 155,19;76 756,37;198 134,97;64 220,49;АВТО;истина ;;Парма Медикал;1;;45 804,66;30 366,32;16 888,37;;000000291;;;;;;;45 804,66;30 366,32;16 888,37;
1 070;000036;ГосЛПУ;МО_БП_30%;;;;05414; Московская городская онкологическая больница № 62 Департамента здравоохранения города Москвы ГБУЗ;28.10.2009; Московская городская онкологическая больница № 62 Департамента здравоохранения города Москвы ГБУЗ;;Московская область;;0,110;Никитина С.Ю.;100;ЛПУ;45;2,70;2,96;;142 250,82;14 419,01;120 585,44;23 412,38;566 373,79;151 696,82;;;62 090,91;7 920,91;АВТО;истина ;;;1;52 187,09;;241 563,63;;;000000291;34 997,63;;241 563,63;;;17 189,46;;;;
1 071;000036;ГосЛПУ;МО_БП_30%;;;;10205;Международный аэропорт Шереметьево АО;07.06.2017;Международный аэропорт Шереметьево АО;;Московская область;;0,200;Котов Н.А.;;ЛПУ;;;;;;;;;;;;;687 070,99;142 335,90;АВТО;ложь ;;;1;;;;;687 070,99;000000291;;;;;687 070,99;;;;;
